COUNTY,AWAITING_TESTING,NEGATIVE,POSITIVE,PERCENT_POSITIVE,TOTAL_TESTED,FILE_NAME,INCONCLUSIVE
Holmes,4,27,1,4,28,html version of FL COVID Rep 03-30-2020(PM),
Wakulla,0,44,1,2,45,html version of FL COVID Rep 03-30-2020(PM),
Washington,5,40,1,2,41,html version of FL COVID Rep 03-30-2020(PM),
Calhoun,0,12,0,0,12,html version of FL COVID Rep 03-30-2020(PM),
Dixie,0,33,0,0,33,html version of FL COVID Rep 03-30-2020(PM),
Franklin,0,18,0,0,18,html version of FL COVID Rep 03-30-2020(PM),
Gilchrist,0,32,0,0,32,html version of FL COVID Rep 03-30-2020(PM),
Gulf,0,38,0,0,38,html version of FL COVID Rep 03-30-2020(PM),
Hamilton,2,17,0,0,17,html version of FL COVID Rep 03-30-2020(PM),
Hardee,0,15,0,0,15,html version of FL COVID Rep 03-30-2020(PM),
Jefferson,0,17,0,0,17,html version of FL COVID Rep 03-30-2020(PM),
Lafayette,0,11,0,0,11,html version of FL COVID Rep 03-30-2020(PM),
Liberty,0,3,0,0,3,html version of FL COVID Rep 03-30-2020(PM),
Madison,0,27,0,0,27,html version of FL COVID Rep 03-30-2020(PM),
Okeechobee,1,46,0,0,46,html version of FL COVID Rep 03-30-2020(PM),
Taylor,0,32,0,0,32,html version of FL COVID Rep 03-30-2020(PM),
Union,1,37,0,0,37,html version of FL COVID Rep 03-30-2020(PM),
Total,1186,49796,5704,10,55516,html version of FL COVID Rep 03-30-2020(PM),
Dade,78,7891,1632,17,9525,html version of FL COVID Rep 03-30-2020,
Broward,94,9784,1152,11,10938,html version of FL COVID Rep 03-30-2020,
Palm Beach,41,2127,423,17,2550,html version of FL COVID Rep 03-30-2020,
Orange,12,2914,293,9,3207,html version of FL COVID Rep 03-30-2020,
Hillsborough,8,3698,253,6,3951,html version of FL COVID Rep 03-30-2020,
Lee,8,1630,164,9,1794,html version of FL COVID Rep 03-30-2020,
Duval,193,2277,158,6,2435,html version of FL COVID Rep 03-30-2020,
Pinellas,52,2227,126,5,2353,html version of FL COVID Rep 03-30-2020,
Collier,25,1051,119,10,1170,html version of FL COVID Rep 03-30-2020,
Osceola,63,552,94,15,646,html version of FL COVID Rep 03-30-2020,
Seminole,23,932,87,9,1020,html version of FL COVID Rep 03-30-2020,
Alachua,15,1219,79,6,1299,html version of FL COVID Rep 03-30-2020,
Volusia,5,645,65,9,710,html version of FL COVID Rep 03-30-2020,
Sarasota,22,704,61,8,765,html version of FL COVID Rep 03-30-2020,
St. Johns,23,760,60,7,821,html version of FL COVID Rep 03-30-2020,
Polk,40,823,55,6,878,html version of FL COVID Rep 03-30-2020,
Lake,4,968,47,5,1016,html version of FL COVID Rep 03-30-2020,
Sumter,1,693,46,6,740,html version of FL COVID Rep 03-30-2020,
Escambia,1,703,42,6,745,html version of FL COVID Rep 03-30-2020,
Manatee,5,294,39,12,333,html version of FL COVID Rep 03-30-2020,
Pasco,10,843,38,4,882,html version of FL COVID Rep 03-30-2020,
Clay,3,323,35,10,358,html version of FL COVID Rep 03-30-2020,
Okaloosa,7,216,35,14,251,html version of FL COVID Rep 03-30-2020,
Brevard,6,514,31,6,545,html version of FL COVID Rep 03-30-2020,
Santa Rosa,2,289,30,9,319,html version of FL COVID Rep 03-30-2020,
St. Lucie,14,379,29,7,408,html version of FL COVID Rep 03-30-2020,
Martin,2,240,27,10,267,html version of FL COVID Rep 03-30-2020,
Indian River,4,229,24,9,253,html version of FL COVID Rep 03-30-2020,
Monroe,49,149,24,14,173,html version of FL COVID Rep 03-30-2020,
Marion,104,511,23,4,534,html version of FL COVID Rep 03-30-2020,
Hernando,1,248,21,8,269,html version of FL COVID Rep 03-30-2020,
Leon,1,533,21,4,554,html version of FL COVID Rep 03-30-2020,
Charlotte,4,262,18,6,280,html version of FL COVID Rep 03-30-2020,
Citrus,4,215,17,7,232,html version of FL COVID Rep 03-30-2020,
Walton,1,95,15,14,110,html version of FL COVID Rep 03-30-2020,
Flagler,0,165,13,7,178,html version of FL COVID Rep 03-30-2020,
Highlands,15,58,13,18,72,html version of FL COVID Rep 03-30-2020,
Putnam,8,235,13,5,248,html version of FL COVID Rep 03-30-2020,
Baker,1,57,8,12,65,html version of FL COVID Rep 03-30-2020,
Nassau,0,96,8,8,104,html version of FL COVID Rep 03-30-2020,
Desoto,10,92,7,7,99,html version of FL COVID Rep 03-30-2020,
Bay,1,112,6,5,118,html version of FL COVID Rep 03-30-2020,
Columbia,29,116,3,3,120,html version of FL COVID Rep 03-30-2020,
Glades,0,4,3,43,7,html version of FL COVID Rep 03-30-2020,
Hendry,1,49,3,6,52,html version of FL COVID Rep 03-30-2020,
Suwannee,8,59,3,5,62,html version of FL COVID Rep 03-30-2020,
Bradford,0,61,2,3,63,html version of FL COVID Rep 03-30-2020,
Jackson,3,71,2,3,73,html version of FL COVID Rep 03-30-2020,
Levy,0,83,2,2,85,html version of FL COVID Rep 03-30-2020,
Gadsden,0,41,1,2,42,html version of FL COVID Rep 03-30-2020,
Unknown,0,11,1,8,12,html version of FL COVID Rep 03-30-2020,
Wakulla,0,44,1,2,45,html version of FL COVID Rep 03-30-2020,
Washington,2,40,1,2,41,html version of FL COVID Rep 03-30-2020,
Calhoun,0,12,0,0,12,html version of FL COVID Rep 03-30-2020,
Dixie,0,32,0,0,32,html version of FL COVID Rep 03-30-2020,
Franklin,0,18,0,0,18,html version of FL COVID Rep 03-30-2020,
Gilchrist,0,32,0,0,32,html version of FL COVID Rep 03-30-2020,
Gulf,0,38,0,0,38,html version of FL COVID Rep 03-30-2020,
Hamilton,2,18,0,0,18,html version of FL COVID Rep 03-30-2020,
Hardee,0,15,0,0,15,html version of FL COVID Rep 03-30-2020,
Holmes,4,27,0,0,27,html version of FL COVID Rep 03-30-2020,
Jefferson,0,17,0,0,17,html version of FL COVID Rep 03-30-2020,
Lafayette,0,11,0,0,11,html version of FL COVID Rep 03-30-2020,
Liberty,0,3,0,0,3,html version of FL COVID Rep 03-30-2020,
Madison,0,27,0,0,27,html version of FL COVID Rep 03-30-2020,
Okeechobee,1,46,0,0,46,html version of FL COVID Rep 03-30-2020,
Taylor,0,32,0,0,32,html version of FL COVID Rep 03-30-2020,
Union,1,37,0,0,37,html version of FL COVID Rep 03-30-2020,
Total,1011,48697,5473,10,54182,html version of FL COVID Rep 03-30-2020,
Dade,133,9190,2123,19,11314,html version of FL COVID Rep 03-31-2020(PM),
Broward,102,10508,1219,10,11729,html version of FL COVID Rep 03-31-2020(PM),
Palm Beach,59,2631,551,17,3182,html version of FL COVID Rep 03-31-2020(PM),
Orange,13,3602,373,9,3975,html version of FL COVID Rep 03-31-2020(PM),
Hillsborough,8,4328,305,7,4633,html version of FL COVID Rep 03-31-2020(PM),
Duval,177,2896,207,7,3103,html version of FL COVID Rep 03-31-2020(PM),
Lee,9,1952,206,10,2158,html version of FL COVID Rep 03-31-2020(PM),
Pinellas,66,2685,167,6,2855,html version of FL COVID Rep 03-31-2020(PM),
Collier,35,1210,146,11,1356,html version of FL COVID Rep 03-31-2020(PM),
Osceola,61,703,110,14,813,html version of FL COVID Rep 03-31-2020(PM),
Seminole,20,1067,103,9,1171,html version of FL COVID Rep 03-31-2020(PM),
Escambia,2,823,94,10,917,html version of FL COVID Rep 03-31-2020(PM),
Alachua,16,1340,87,6,1428,html version of FL COVID Rep 03-31-2020(PM),
Volusia,4,737,80,10,817,html version of FL COVID Rep 03-31-2020(PM),
St. Johns,29,860,79,8,940,html version of FL COVID Rep 03-31-2020(PM),
Sarasota,34,773,76,9,849,html version of FL COVID Rep 03-31-2020(PM),
Polk,32,1109,73,6,1182,html version of FL COVID Rep 03-31-2020(PM),
Lake,6,1107,66,6,1176,html version of FL COVID Rep 03-31-2020(PM),
Manatee,6,376,53,12,429,html version of FL COVID Rep 03-31-2020(PM),
Sumter,5,728,51,7,780,html version of FL COVID Rep 03-31-2020(PM),
Santa Rosa,2,331,44,12,375,html version of FL COVID Rep 03-31-2020(PM),
Clay,4,410,41,9,451,html version of FL COVID Rep 03-31-2020(PM),
Pasco,13,1020,40,4,1061,html version of FL COVID Rep 03-31-2020(PM),
Okaloosa,42,236,39,14,275,html version of FL COVID Rep 03-31-2020(PM),
St. Lucie,14,498,38,7,536,html version of FL COVID Rep 03-31-2020(PM),
Brevard,7,574,37,6,611,html version of FL COVID Rep 03-31-2020(PM),
Indian River,7,302,33,10,335,html version of FL COVID Rep 03-31-2020(PM),
Martin,5,282,28,9,310,html version of FL COVID Rep 03-31-2020(PM),
Monroe,67,179,27,13,206,html version of FL COVID Rep 03-31-2020(PM),
Leon,3,591,26,4,617,html version of FL COVID Rep 03-31-2020(PM),
Marion,149,628,25,4,653,html version of FL COVID Rep 03-31-2020(PM),
Charlotte,5,296,24,8,320,html version of FL COVID Rep 03-31-2020(PM),
Hernando,1,293,24,8,317,html version of FL COVID Rep 03-31-2020(PM),
Citrus,3,243,19,7,262,html version of FL COVID Rep 03-31-2020(PM),
Flagler,0,185,18,9,203,html version of FL COVID Rep 03-31-2020(PM),
Walton,1,108,18,14,126,html version of FL COVID Rep 03-31-2020(PM),
Highlands,12,83,17,17,101,html version of FL COVID Rep 03-31-2020(PM),
Putnam,5,266,13,5,279,html version of FL COVID Rep 03-31-2020(PM),
Nassau,0,135,10,7,145,html version of FL COVID Rep 03-31-2020(PM),
Baker,1,65,9,12,74,html version of FL COVID Rep 03-31-2020(PM),
Bay,3,132,8,6,140,html version of FL COVID Rep 03-31-2020(PM),
Desoto,5,105,7,6,112,html version of FL COVID Rep 03-31-2020(PM),
Hendry,1,58,4,6,62,html version of FL COVID Rep 03-31-2020(PM),
Columbia,42,135,3,2,138,html version of FL COVID Rep 03-31-2020(PM),
Glades,0,4,3,43,7,html version of FL COVID Rep 03-31-2020(PM),
Suwannee,6,66,3,4,69,html version of FL COVID Rep 03-31-2020(PM),
Bradford,1,67,2,3,69,html version of FL COVID Rep 03-31-2020(PM),
Jackson,14,73,2,3,75,html version of FL COVID Rep 03-31-2020(PM),
Levy,1,97,2,2,99,html version of FL COVID Rep 03-31-2020(PM),
Unknown,10,12,2,14,14,html version of FL COVID Rep 03-31-2020(PM),
Calhoun,0,13,1,7,14,html version of FL COVID Rep 03-31-2020(PM),
Gadsden,0,45,1,2,46,html version of FL COVID Rep 03-31-2020(PM),
Holmes,5,27,1,4,28,html version of FL COVID Rep 03-31-2020(PM),
Union,2,42,1,2,43,html version of FL COVID Rep 03-31-2020(PM),
Wakulla,0,50,1,2,51,html version of FL COVID Rep 03-31-2020(PM),
Washington,7,40,1,2,41,html version of FL COVID Rep 03-31-2020(PM),
Dixie,0,40,0,0,40,html version of FL COVID Rep 03-31-2020(PM),
Franklin,0,20,0,0,20,html version of FL COVID Rep 03-31-2020(PM),
Gilchrist,0,39,0,0,39,html version of FL COVID Rep 03-31-2020(PM),
Gulf,0,40,0,0,40,html version of FL COVID Rep 03-31-2020(PM),
Hamilton,5,21,0,0,21,html version of FL COVID Rep 03-31-2020(PM),
Hardee,0,18,0,0,18,html version of FL COVID Rep 03-31-2020(PM),
Jefferson,0,18,0,0,18,html version of FL COVID Rep 03-31-2020(PM),
Lafayette,0,11,0,0,11,html version of FL COVID Rep 03-31-2020(PM),
Liberty,0,3,0,0,3,html version of FL COVID Rep 03-31-2020(PM),
Madison,0,29,0,0,29,html version of FL COVID Rep 03-31-2020(PM),
Okeechobee,1,54,0,0,54,html version of FL COVID Rep 03-31-2020(PM),
Taylor,0,35,0,0,35,html version of FL COVID Rep 03-31-2020(PM),
Total,1261,56644,6741,11,63400,html version of FL COVID Rep 03-31-2020(PM),
Dade,115,8773,1926,18,10701,html version of FL COVID Rep 03-31-2020,
Broward,99,10411,1209,10,11622,html version of FL COVID Rep 03-31-2020,
Palm Beach,44,2467,514,17,2981,html version of FL COVID Rep 03-31-2020,
Orange,13,3212,363,10,3575,html version of FL COVID Rep 03-31-2020,
Hillsborough,6,4240,291,6,4531,html version of FL COVID Rep 03-31-2020,
Duval,169,2771,198,7,2969,html version of FL COVID Rep 03-31-2020,
Lee,8,1836,185,9,2021,html version of FL COVID Rep 03-31-2020,
Pinellas,65,2518,144,5,2665,html version of FL COVID Rep 03-31-2020,
Collier,29,1190,142,11,1332,html version of FL COVID Rep 03-31-2020,
Osceola,56,623,107,15,730,html version of FL COVID Rep 03-31-2020,
Seminole,23,978,99,9,1078,html version of FL COVID Rep 03-31-2020,
Escambia,1,816,88,10,904,html version of FL COVID Rep 03-31-2020,
Alachua,16,1304,85,6,1390,html version of FL COVID Rep 03-31-2020,
Volusia,4,726,75,9,801,html version of FL COVID Rep 03-31-2020,
Polk,30,1026,73,7,1099,html version of FL COVID Rep 03-31-2020,
St. Johns,26,838,73,8,912,html version of FL COVID Rep 03-31-2020,
Sarasota,34,757,71,9,828,html version of FL COVID Rep 03-31-2020,
Lake,9,1088,59,5,1150,html version of FL COVID Rep 03-31-2020,
Sumter,5,724,49,6,774,html version of FL COVID Rep 03-31-2020,
Manatee,7,347,48,12,395,html version of FL COVID Rep 03-31-2020,
Pasco,9,963,41,4,1005,html version of FL COVID Rep 03-31-2020,
Santa Rosa,2,329,39,11,368,html version of FL COVID Rep 03-31-2020,
Okaloosa,29,231,38,14,269,html version of FL COVID Rep 03-31-2020,
Clay,3,387,37,9,424,html version of FL COVID Rep 03-31-2020,
Brevard,6,557,34,6,591,html version of FL COVID Rep 03-31-2020,
St. Lucie,14,478,33,6,511,html version of FL COVID Rep 03-31-2020,
Indian River,7,259,30,10,289,html version of FL COVID Rep 03-31-2020,
Martin,2,275,28,9,303,html version of FL COVID Rep 03-31-2020,
Monroe,62,161,26,14,187,html version of FL COVID Rep 03-31-2020,
Leon,2,574,25,4,599,html version of FL COVID Rep 03-31-2020,
Marion,144,572,25,4,597,html version of FL COVID Rep 03-31-2020,
Charlotte,5,289,23,7,312,html version of FL COVID Rep 03-31-2020,
Hernando,1,285,23,7,308,html version of FL COVID Rep 03-31-2020,
Citrus,4,239,19,7,258,html version of FL COVID Rep 03-31-2020,
Flagler,0,182,17,9,199,html version of FL COVID Rep 03-31-2020,
Walton,1,103,16,13,119,html version of FL COVID Rep 03-31-2020,
Highlands,14,69,15,18,85,html version of FL COVID Rep 03-31-2020,
Putnam,6,260,13,5,273,html version of FL COVID Rep 03-31-2020,
Baker,1,63,9,13,72,html version of FL COVID Rep 03-31-2020,
Nassau,0,123,9,7,132,html version of FL COVID Rep 03-31-2020,
Bay,3,129,7,5,136,html version of FL COVID Rep 03-31-2020,
Desoto,6,101,7,6,108,html version of FL COVID Rep 03-31-2020,
Hendry,1,52,4,7,56,html version of FL COVID Rep 03-31-2020,
Columbia,41,125,3,2,128,html version of FL COVID Rep 03-31-2020,
Glades,0,4,3,43,7,html version of FL COVID Rep 03-31-2020,
Suwannee,8,62,3,5,65,html version of FL COVID Rep 03-31-2020,
Bradford,1,65,2,3,67,html version of FL COVID Rep 03-31-2020,
Jackson,9,72,2,3,74,html version of FL COVID Rep 03-31-2020,
Levy,0,94,2,2,96,html version of FL COVID Rep 03-31-2020,
Unknown,7,11,2,15,13,html version of FL COVID Rep 03-31-2020,
Gadsden,0,43,1,2,44,html version of FL COVID Rep 03-31-2020,
Holmes,4,27,1,4,28,html version of FL COVID Rep 03-31-2020,
Wakulla,0,47,1,2,48,html version of FL COVID Rep 03-31-2020,
Washington,6,40,1,2,41,html version of FL COVID Rep 03-31-2020,
Calhoun,0,13,0,0,13,html version of FL COVID Rep 03-31-2020,
Dixie,0,35,0,0,35,html version of FL COVID Rep 03-31-2020,
Franklin,0,19,0,0,19,html version of FL COVID Rep 03-31-2020,
Gilchrist,0,37,0,0,37,html version of FL COVID Rep 03-31-2020,
Gulf,0,39,0,0,39,html version of FL COVID Rep 03-31-2020,
Hamilton,4,20,0,0,20,html version of FL COVID Rep 03-31-2020,
Hardee,0,16,0,0,16,html version of FL COVID Rep 03-31-2020,
Jefferson,0,18,0,0,18,html version of FL COVID Rep 03-31-2020,
Lafayette,0,11,0,0,11,html version of FL COVID Rep 03-31-2020,
Liberty,0,3,0,0,3,html version of FL COVID Rep 03-31-2020,
Madison,0,29,0,0,29,html version of FL COVID Rep 03-31-2020,
Okeechobee,1,54,0,0,54,html version of FL COVID Rep 03-31-2020,
Taylor,0,35,0,0,35,html version of FL COVID Rep 03-31-2020,
Union,1,40,0,0,40,html version of FL COVID Rep 03-31-2020,
Total,1163,54285,6338,10,60639,html version of FL COVID Rep 03-31-2020,
Dade,130,9878,2202,18,12081,html version of FL COVID Rep 04-01-2020,
Broward,100,10701,1232,10,11935,html version of FL COVID Rep 04-01-2020,
Palm Beach,62,2744,567,17,3311,html version of FL COVID Rep 04-01-2020,
Orange,13,3847,392,9,4239,html version of FL COVID Rep 04-01-2020,
Hillsborough,10,4430,309,7,4739,html version of FL COVID Rep 04-01-2020,
Duval,173,3300,218,6,3518,html version of FL COVID Rep 04-01-2020,
Lee,10,2028,212,9,2240,html version of FL COVID Rep 04-01-2020,
Pinellas,68,2724,170,6,2897,html version of FL COVID Rep 04-01-2020,
Collier,33,1250,150,11,1400,html version of FL COVID Rep 04-01-2020,
Osceola,61,736,115,14,851,html version of FL COVID Rep 04-01-2020,
Seminole,20,1126,109,9,1236,html version of FL COVID Rep 04-01-2020,
Escambia,2,832,94,10,926,html version of FL COVID Rep 04-01-2020,
Alachua,16,1417,90,6,1508,html version of FL COVID Rep 04-01-2020,
St. Johns,26,943,83,8,1027,html version of FL COVID Rep 04-01-2020,
Sarasota,32,799,82,9,881,html version of FL COVID Rep 04-01-2020,
Volusia,4,774,80,9,854,html version of FL COVID Rep 04-01-2020,
Polk,32,1151,76,6,1227,html version of FL COVID Rep 04-01-2020,
Lake,7,1127,67,6,1197,html version of FL COVID Rep 04-01-2020,
Manatee,5,407,58,12,465,html version of FL COVID Rep 04-01-2020,
Sumter,5,735,52,7,788,html version of FL COVID Rep 04-01-2020,
Clay,4,483,46,9,529,html version of FL COVID Rep 04-01-2020,
Santa Rosa,2,334,44,12,378,html version of FL COVID Rep 04-01-2020,
Pasco,15,1048,43,4,1092,html version of FL COVID Rep 04-01-2020,
St. Lucie,14,556,40,7,596,html version of FL COVID Rep 04-01-2020,
Okaloosa,42,240,39,14,279,html version of FL COVID Rep 04-01-2020,
Brevard,8,623,38,6,661,html version of FL COVID Rep 04-01-2020,
Indian River,7,324,33,9,357,html version of FL COVID Rep 04-01-2020,
Martin,4,340,29,8,369,html version of FL COVID Rep 04-01-2020,
Leon,3,647,28,4,675,html version of FL COVID Rep 04-01-2020,
Marion,133,667,28,4,695,html version of FL COVID Rep 04-01-2020,
Monroe,67,181,27,13,208,html version of FL COVID Rep 04-01-2020,
Charlotte,5,310,24,7,334,html version of FL COVID Rep 04-01-2020,
Hernando,1,309,24,7,333,html version of FL COVID Rep 04-01-2020,
Flagler,0,197,20,9,217,html version of FL COVID Rep 04-01-2020,
Citrus,3,251,19,7,270,html version of FL COVID Rep 04-01-2020,
Walton,1,111,18,14,129,html version of FL COVID Rep 04-01-2020,
Highlands,10,94,17,15,112,html version of FL COVID Rep 04-01-2020,
Putnam,5,287,13,4,300,html version of FL COVID Rep 04-01-2020,
Nassau,0,157,11,7,168,html version of FL COVID Rep 04-01-2020,
Bay,3,138,10,7,148,html version of FL COVID Rep 04-01-2020,
Baker,1,71,9,11,80,html version of FL COVID Rep 04-01-2020,
Desoto,5,110,7,6,117,html version of FL COVID Rep 04-01-2020,
Hendry,1,62,4,6,66,html version of FL COVID Rep 04-01-2020,
Suwannee,6,70,4,5,74,html version of FL COVID Rep 04-01-2020,
Bradford,0,75,3,4,78,html version of FL COVID Rep 04-01-2020,
Columbia,41,140,3,2,143,html version of FL COVID Rep 04-01-2020,
Glades,0,4,3,43,7,html version of FL COVID Rep 04-01-2020,
Jackson,14,73,2,3,75,html version of FL COVID Rep 04-01-2020,
Levy,1,99,2,2,101,html version of FL COVID Rep 04-01-2020,
Unknown,10,15,2,12,17,html version of FL COVID Rep 04-01-2020,
Calhoun,0,14,1,7,15,html version of FL COVID Rep 04-01-2020,
Gadsden,0,46,1,2,47,html version of FL COVID Rep 04-01-2020,
Gulf,0,40,1,2,41,html version of FL COVID Rep 04-01-2020,
Holmes,5,27,1,4,28,html version of FL COVID Rep 04-01-2020,
Union,2,42,1,2,43,html version of FL COVID Rep 04-01-2020,
Wakulla,0,60,1,2,61,html version of FL COVID Rep 04-01-2020,
Washington,8,40,1,2,41,html version of FL COVID Rep 04-01-2020,
Dixie,0,41,0,0,41,html version of FL COVID Rep 04-01-2020,
Franklin,0,20,0,0,20,html version of FL COVID Rep 04-01-2020,
Gilchrist,0,40,0,0,40,html version of FL COVID Rep 04-01-2020,
Hamilton,4,22,0,0,22,html version of FL COVID Rep 04-01-2020,
Hardee,0,19,0,0,19,html version of FL COVID Rep 04-01-2020,
Jefferson,0,19,0,0,19,html version of FL COVID Rep 04-01-2020,
Lafayette,0,11,0,0,11,html version of FL COVID Rep 04-01-2020,
Liberty,0,3,0,0,3,html version of FL COVID Rep 04-01-2020,
Madison,0,30,0,0,30,html version of FL COVID Rep 04-01-2020,
Okeechobee,1,54,0,0,54,html version of FL COVID Rep 04-01-2020,
Taylor,0,36,0,0,36,html version of FL COVID Rep 04-01-2020,
Total,1235,59529,6955,10,66499,html version of FL COVID Rep 04-01-2020,
Dade,162,11802,2886,20,14692,html version of FL COVID Rep 04-02-2020(PM),
Broward,73,11636,1481,11,13123,html version of FL COVID Rep 04-02-2020(PM),
Palm Beach,75,3108,737,19,3845,html version of FL COVID Rep 04-02-2020(PM),
Orange,13,4716,541,10,5257,html version of FL COVID Rep 04-02-2020(PM),
Hillsborough,6,5583,404,7,5987,html version of FL COVID Rep 04-02-2020(PM),
Duval,190,4552,286,6,4838,html version of FL COVID Rep 04-02-2020(PM),
Lee,18,2381,275,10,2656,html version of FL COVID Rep 04-02-2020(PM),
Pinellas,93,3942,273,6,4220,html version of FL COVID Rep 04-02-2020(PM),
Collier,30,1415,178,11,1593,html version of FL COVID Rep 04-02-2020(PM),
Osceola,69,890,170,16,1060,html version of FL COVID Rep 04-02-2020(PM),
Seminole,16,1343,145,10,1489,html version of FL COVID Rep 04-02-2020(PM),
Sarasota,11,903,110,11,1013,html version of FL COVID Rep 04-02-2020(PM),
Polk,26,1469,103,7,1574,html version of FL COVID Rep 04-02-2020(PM),
St. Johns,39,1220,102,8,1322,html version of FL COVID Rep 04-02-2020(PM),
Volusia,1,898,102,10,1000,html version of FL COVID Rep 04-02-2020(PM),
Escambia,3,1055,101,9,1156,html version of FL COVID Rep 04-02-2020(PM),
Alachua,15,1554,95,6,1651,html version of FL COVID Rep 04-02-2020(PM),
Manatee,4,562,89,14,651,html version of FL COVID Rep 04-02-2020(PM),
Lake,5,1291,82,6,1377,html version of FL COVID Rep 04-02-2020(PM),
Pasco,23,1473,66,4,1540,html version of FL COVID Rep 04-02-2020(PM),
Sumter,13,760,66,8,827,html version of FL COVID Rep 04-02-2020(PM),
Clay,6,654,58,8,712,html version of FL COVID Rep 04-02-2020(PM),
Okaloosa,58,288,51,15,339,html version of FL COVID Rep 04-02-2020(PM),
Brevard,1,714,49,6,763,html version of FL COVID Rep 04-02-2020(PM),
St. Lucie,17,615,48,7,663,html version of FL COVID Rep 04-02-2020(PM),
Santa Rosa,2,430,47,10,477,html version of FL COVID Rep 04-02-2020(PM),
Indian River,15,370,41,10,411,html version of FL COVID Rep 04-02-2020(PM),
Charlotte,5,354,38,10,392,html version of FL COVID Rep 04-02-2020(PM),
Monroe,81,228,38,14,266,html version of FL COVID Rep 04-02-2020(PM),
Leon,3,680,35,5,715,html version of FL COVID Rep 04-02-2020(PM),
Hernando,3,386,34,8,420,html version of FL COVID Rep 04-02-2020(PM),
Martin,4,422,34,7,456,html version of FL COVID Rep 04-02-2020(PM),
Marion,181,726,33,4,759,html version of FL COVID Rep 04-02-2020(PM),
Citrus,8,319,27,8,346,html version of FL COVID Rep 04-02-2020(PM),
Flagler,0,229,25,10,255,html version of FL COVID Rep 04-02-2020(PM),
Highlands,9,111,24,18,137,html version of FL COVID Rep 04-02-2020(PM),
Walton,0,126,19,13,145,html version of FL COVID Rep 04-02-2020(PM),
Nassau,0,214,16,7,230,html version of FL COVID Rep 04-02-2020(PM),
Bay,2,172,15,8,187,html version of FL COVID Rep 04-02-2020(PM),
Putnam,5,320,14,4,334,html version of FL COVID Rep 04-02-2020(PM),
Baker,1,82,11,12,93,html version of FL COVID Rep 04-02-2020(PM),
Unknown,8,20,9,31,29,html version of FL COVID Rep 04-02-2020(PM),
Desoto,4,120,8,6,128,html version of FL COVID Rep 04-02-2020(PM),
Suwannee,16,79,7,8,86,html version of FL COVID Rep 04-02-2020(PM),
Bradford,0,82,5,6,87,html version of FL COVID Rep 04-02-2020(PM),
Columbia,39,154,4,3,158,html version of FL COVID Rep 04-02-2020(PM),
Hendry,3,72,4,5,76,html version of FL COVID Rep 04-02-2020(PM),
Jackson,11,81,4,5,85,html version of FL COVID Rep 04-02-2020(PM),
Glades,0,4,3,43,7,html version of FL COVID Rep 04-02-2020(PM),
Gadsden,0,50,2,4,52,html version of FL COVID Rep 04-02-2020(PM),
Levy,1,112,2,2,114,html version of FL COVID Rep 04-02-2020(PM),
Madison,0,32,2,6,34,html version of FL COVID Rep 04-02-2020(PM),
Wakulla,0,63,2,3,65,html version of FL COVID Rep 04-02-2020(PM),
Calhoun,0,17,1,6,18,html version of FL COVID Rep 04-02-2020(PM),
Gulf,0,45,1,2,46,html version of FL COVID Rep 04-02-2020(PM),
Hardee,0,25,1,4,26,html version of FL COVID Rep 04-02-2020(PM),
Holmes,6,31,1,3,32,html version of FL COVID Rep 04-02-2020(PM),
Okeechobee,3,65,1,2,66,html version of FL COVID Rep 04-02-2020(PM),
Union,2,45,1,2,46,html version of FL COVID Rep 04-02-2020(PM),
Washington,6,48,1,2,49,html version of FL COVID Rep 04-02-2020(PM),
Dixie,0,47,0,0,47,html version of FL COVID Rep 04-02-2020(PM),
Franklin,0,21,0,0,21,html version of FL COVID Rep 04-02-2020(PM),
Gilchrist,0,44,0,0,44,html version of FL COVID Rep 04-02-2020(PM),
Hamilton,3,25,0,0,25,html version of FL COVID Rep 04-02-2020(PM),
Jefferson,0,21,0,0,21,html version of FL COVID Rep 04-02-2020(PM),
Lafayette,0,12,0,0,12,html version of FL COVID Rep 04-02-2020(PM),
Liberty,0,3,0,0,3,html version of FL COVID Rep 04-02-2020(PM),
Taylor,1,37,0,0,37,html version of FL COVID Rep 04-02-2020(PM),
Total,1389,71348,9008,11,80385,html version of FL COVID Rep 04-02-2020(PM),
Dade,144,11579,2448,17,14030,html version of FL COVID Rep 04-02-2020,
Broward,73,11577,1346,10,12928,html version of FL COVID Rep 04-02-2020,
Palm Beach,66,3030,630,17,3660,html version of FL COVID Rep 04-02-2020,
Orange,14,4707,502,10,5209,html version of FL COVID Rep 04-02-2020,
Hillsborough,8,5252,372,7,5624,html version of FL COVID Rep 04-02-2020,
Duval,174,4449,271,6,4720,html version of FL COVID Rep 04-02-2020,
Lee,15,2364,245,9,2609,html version of FL COVID Rep 04-02-2020,
Pinellas,94,3516,239,6,3758,html version of FL COVID Rep 04-02-2020,
Collier,31,1404,161,10,1565,html version of FL COVID Rep 04-02-2020,
Osceola,67,884,153,15,1037,html version of FL COVID Rep 04-02-2020,
Seminole,16,1341,136,9,1478,html version of FL COVID Rep 04-02-2020,
Sarasota,15,880,100,10,980,html version of FL COVID Rep 04-02-2020,
Volusia,1,896,100,10,996,html version of FL COVID Rep 04-02-2020,
Escambia,2,963,97,9,1060,html version of FL COVID Rep 04-02-2020,
St. Johns,31,1201,94,7,1295,html version of FL COVID Rep 04-02-2020,
